              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:11:48 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	110.2 
2	0	0	1	117.6 
800	0	13	19	 87.6 
801	0	13	20	117.5 
802	0	13	21	 83.8 
803	0	13	22	 76.2 
804	0	13	23	 99.9 
805	0	13	24	 87.1 
806	0	13	25	 77.4 
807	0	13	26	108.8 
808	0	13	27	156.7 
809	0	13	28	128.4 
810	0	13	29	 97.0 
811	0	13	30	 65.2 
812	0	13	31	 63.4 
813	0	13	32	 72.3 
814	0	13	33	 74.9 
815	0	13	34	127.8 
816	0	13	35	145.0 
817	0	13	36	108.5 
818	0	13	37	 95.1 
819	0	13	38	 82.4 
820	0	13	39	 64.8 
821	0	13	40	 80.3 
822	0	13	41	 71.8 
823	0	13	42	123.2 
824	0	13	43	134.9 
825	0	13	44	104.4 
826	0	13	45	107.4 
827	0	13	46	113.5 
828	0	13	47	157.2 
829	0	13	48	154.8 
830	0	13	49	149.9 
831	0	13	50	122.0 
832	0	13	51	119.9 
833	0	13	52	120.8 
834	0	13	53	109.4 
835	0	13	54	104.5 
836	0	13	55	120.2 
837	0	13	56	117.7 
838	0	13	57	104.8 
839	0	13	58	133.5 
840	0	13	59	157.5 
841	0	14	0	194.3 
842	0	14	1	180.9 
843	0	14	2	148.6 
844	0	14	3	123.8 
845	0	14	4	177.2 
846	0	14	5	155.1 
847	0	14	6	105.9 
848	0	14	7	 74.8 
849	0	14	8	 70.0 
850	0	14	9	 62.5 
851	0	14	10	 52.4 
852	0	14	11	 55.7 
853	0	14	12	 79.9 
854	0	14	13	 83.2 
855	0	14	14	 85.8 
856	0	14	15	 90.6 
857	0	14	16	108.7 
858	0	14	17	117.2 
859	0	14	18	141.9 
860	0	14	19	166.7 
861	0	14	20	127.8 
862	0	14	21	 76.0 
863	0	14	22	 58.6 
864	0	14	23	 50.5 
865	0	14	24	 68.9 
866	0	14	25	 53.1 
867	0	14	26	 56.5 
868	0	14	27	 84.8 
869	0	14	28	105.2 
870	0	14	29	 68.3 
871	0	14	30	 66.7 
872	0	14	31	 79.0 
873	0	14	32	 77.6 
874	0	14	33	 83.2 
875	0	14	34	 81.3 
876	0	14	35	 64.2 
877	0	14	36	 65.9 
878	0	14	37	 76.6 
879	0	14	38	 78.5 
880	0	14	39	 75.3 
881	0	14	40	 72.4 
882	0	14	41	 87.5 
883	0	14	42	 89.4 
884	0	14	43	 82.0 
885	0	14	44	 84.3 
886	0	14	45	100.3 
887	0	14	46	 81.8 
888	0	14	47	 79.6 
889	0	14	48	 85.8 
890	0	14	49	 69.2 
891	0	14	50	 69.8 
892	0	14	51	 62.8 
893	0	14	52	 47.0 
894	0	14	53	 42.0 
895	0	14	54	 42.5 
896	0	14	55	 44.6 
897	0	14	56	 65.8 
898	0	14	57	 71.8 
899	0	14	58	172.7 
900	0	14	59	210.5 
901	0	15	0	241.1 
902	0	15	1	203.5 
903	0	15	2	169.3 
904	0	15	3	137.7 
905	0	15	4	133.7 
906	0	15	5	183.1 
