              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 16:01:16 (11/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	140.4 
2	0	0	1	150.5 
496	0	8	15	211.4 
497	0	8	16	190.0 
498	0	8	17	209.8 
499	0	8	18	205.6 
500	0	8	19	208.7 
501	0	8	20	200.3 
502	0	8	21	205.0 
503	0	8	22	147.6 
504	0	8	23	 93.1 
505	0	8	24	 75.2 
506	0	8	25	 74.0 
507	0	8	26	 70.3 
508	0	8	27	 78.0 
509	0	8	28	 92.7 
510	0	8	29	 64.2 
511	0	8	30	 53.3 
512	0	8	31	 52.2 
513	0	8	32	 59.4 
514	0	8	33	 48.7 
515	0	8	34	 55.5 
516	0	8	35	 42.9 
517	0	8	36	 38.6 
518	0	8	37	 53.8 
519	0	8	38	 59.1 
520	0	8	39	 68.1 
521	0	8	40	 56.9 
522	0	8	41	 44.8 
523	0	8	42	 47.0 
524	0	8	43	 50.9 
525	0	8	44	 59.7 
526	0	8	45	 60.9 
527	0	8	46	 70.1 
528	0	8	47	 80.4 
529	0	8	48	 78.7 
530	0	8	49	 86.6 
531	0	8	50	 86.5 
532	0	8	51	 94.5 
533	0	8	52	108.0 
534	0	8	53	136.4 
535	0	8	54	143.2 
536	0	8	55	131.9 
537	0	8	56	144.1 
538	0	8	57	185.3 
539	0	8	58	206.0 
540	0	8	59	223.1 
541	0	9	0	203.8 
542	0	9	1	179.4 
543	0	9	2	126.0 
544	0	9	3	 87.0 
545	0	9	4	 86.3 
546	0	9	5	 87.6 
547	0	9	6	 82.3 
548	0	9	7	112.7 
549	0	9	8	 82.6 
550	0	9	9	 84.3 
551	0	9	10	 96.1 
552	0	9	11	 89.8 
553	0	9	12	101.1 
554	0	9	13	102.4 
555	0	9	14	119.4 
556	0	9	15	131.0 
557	0	9	16	133.7 
558	0	9	17	147.6 
559	0	9	18	155.2 
560	0	9	19	154.4 
561	0	9	20	163.4 
562	0	9	21	157.6 
563	0	9	22	166.8 
564	0	9	23	161.2 
565	0	9	24	165.2 
566	0	9	25	159.1 
567	0	9	26	164.4 
568	0	9	27	159.1 
569	0	9	28	161.6 
570	0	9	29	161.6 
571	0	9	30	171.6 
572	0	9	31	166.1 
573	0	9	32	163.9 
574	0	9	33	172.5 
575	0	9	34	172.5 
576	0	9	35	175.8 
577	0	9	36	188.1 
578	0	9	37	187.7 
579	0	9	38	178.2 
580	0	9	39	175.4 
581	0	9	40	183.8 
582	0	9	41	183.3 
583	0	9	42	167.8 
584	0	9	43	139.0 
585	0	9	44	108.4 
586	0	9	45	 91.2 
587	0	9	46	 88.0 
588	0	9	47	 99.7 
589	0	9	48	102.3 
590	0	9	49	103.6 
591	0	9	50	106.2 
592	0	9	51	107.3 
593	0	9	52	114.6 
594	0	9	53	108.3 
595	0	9	54	104.7 
596	0	9	55	 73.3 
597	0	9	56	 74.8 
598	0	9	57	 81.3 
599	0	9	58	116.4 
600	0	9	59	132.2 
601	0	10	0	140.1 
602	0	10	1	150.2 
603	0	10	2	156.8 
604	0	10	3	165.0 
605	0	10	4	160.9 
606	0	10	5	166.3 
607	0	10	6	184.3 
608	0	10	7	173.6 
609	0	10	8	132.9 
610	0	10	9	 97.8 
611	0	10	10	 79.3 
612	0	10	11	 62.4 
613	0	10	12	 64.4 
614	0	10	13	 77.6 
615	0	10	14	101.8 
616	0	10	15	110.1 
617	0	10	16	111.8 
618	0	10	17	103.5 
619	0	10	18	 95.6 
620	0	10	19	106.6 
621	0	10	20	 96.8 
622	0	10	21	 89.6 
623	0	10	22	 89.1 
624	0	10	23	 82.2 
625	0	10	24	 85.2 
626	0	10	25	 99.3 
627	0	10	26	105.6 
628	0	10	27	130.8 
629	0	10	28	145.2 
630	0	10	29	167.7 
631	0	10	30	175.8 
632	0	10	31	158.0 
633	0	10	32	163.4 
634	0	10	33	152.5 
635	0	10	34	146.4 
636	0	10	35	164.0 
637	0	10	36	155.3 
638	0	10	37	115.1 
639	0	10	38	110.2 
640	0	10	39	 94.5 
641	0	10	40	 90.3 
642	0	10	41	 91.8 
643	0	10	42	 94.7 
644	0	10	43	 93.0 
645	0	10	44	112.6 
646	0	10	45	124.3 
647	0	10	46	133.6 
648	0	10	47	136.4 
649	0	10	48	137.9 
650	0	10	49	142.5 
651	0	10	50	134.5 
652	0	10	51	137.6 
653	0	10	52	130.2 
654	0	10	53	100.9 
655	0	10	54	102.4 
656	0	10	55	100.9 
657	0	10	56	107.5 
658	0	10	57	109.4 
659	0	10	58	 95.9 
660	0	10	59	111.7 
661	0	11	0	121.0 
662	0	11	1	123.6 
663	0	11	2	150.4 
664	0	11	3	149.0 
665	0	11	4	168.5 
666	0	11	5	191.5 
667	0	11	6	198.8 
668	0	11	7	207.9 
669	0	11	8	210.8 
670	0	11	9	201.8 
671	0	11	10	168.4 
672	0	11	11	148.6 
673	0	11	12	140.9 
674	0	11	13	140.2 
675	0	11	14	142.4 
676	0	11	15	155.2 
677	0	11	16	150.9 
678	0	11	17	144.6 
679	0	11	18	155.9 
680	0	11	19	159.7 
681	0	11	20	162.2 
682	0	11	21	177.7 
683	0	11	22	169.6 
684	0	11	23	150.1 
685	0	11	24	155.0 
686	0	11	25	145.5 
687	0	11	26	139.0 
688	0	11	27	121.6 
689	0	11	28	118.9 
690	0	11	29	122.9 
691	0	11	30	155.7 
692	0	11	31	161.8 
693	0	11	32	173.4 
694	0	11	33	192.9 
695	0	11	34	213.7 
696	0	11	35	221.6 
697	0	11	36	231.6 
698	0	11	37	217.8 
699	0	11	38	197.8 
700	0	11	39	207.4 
701	0	11	40	225.1 
702	0	11	41	225.3 
703	0	11	42	208.4 
704	0	11	43	181.2 
705	0	11	44	158.2 
706	0	11	45	149.3 
707	0	11	46	147.0 
708	0	11	47	157.1 
709	0	11	48	141.4 
710	0	11	49	132.2 
711	0	11	50	122.1 
712	0	11	51	132.9 
713	0	11	52	142.4 
714	0	11	53	166.8 
715	0	11	54	174.3 
716	0	11	55	173.5 
717	0	11	56	173.2 
718	0	11	57	179.7 
719	0	11	58	184.6 
720	0	11	59	196.5 
721	0	12	0	175.5 
722	0	12	1	177.9 
723	0	12	2	179.3 
724	0	12	3	154.2 
725	0	12	4	161.1 
726	0	12	5	162.7 
727	0	12	6	168.2 
728	0	12	7	173.3 
729	0	12	8	190.2 
730	0	12	9	192.8 
731	0	12	10	212.1 
732	0	12	11	219.9 
733	0	12	12	223.0 
734	0	12	13	231.7 
735	0	12	14	219.3 
736	0	12	15	212.4 
737	0	12	16	207.2 
738	0	12	17	181.4 
739	0	12	18	180.3 
740	0	12	19	177.3 
741	0	12	20	164.7 
742	0	12	21	170.5 
743	0	12	22	161.2 
744	0	12	23	175.7 
745	0	12	24	183.6 
746	0	12	25	211.7 
747	0	12	26	213.6 
748	0	12	27	215.6 
749	0	12	28	214.3 
750	0	12	29	204.6 
751	0	12	30	193.6 
752	0	12	31	192.9 
753	0	12	32	180.2 
754	0	12	33	100.6 
755	0	12	34	 70.6 
756	0	12	35	 79.9 
757	0	12	36	105.3 
758	0	12	37	139.0 
759	0	12	38	154.3 
760	0	12	39	187.2 
761	0	12	40	223.6 
762	0	12	41	219.4 
763	0	12	42	224.7 
764	0	12	43	214.1 
765	0	12	44	215.8 
766	0	12	45	219.9 
767	0	12	46	208.1 
768	0	12	47	193.9 
769	0	12	48	179.2 
770	0	12	49	180.8 
771	0	12	50	180.3 
772	0	12	51	177.3 
773	0	12	52	184.7 
774	0	12	53	172.0 
775	0	12	54	181.1 
776	0	12	55	194.0 
777	0	12	56	199.4 
778	0	12	57	202.5 
779	0	12	58	211.3 
780	0	12	59	202.5 
781	0	13	0	164.4 
782	0	13	1	173.2 
783	0	13	2	152.3 
784	0	13	3	132.8 
785	0	13	4	132.9 
786	0	13	5	143.2 
787	0	13	6	122.6 
788	0	13	7	129.6 
789	0	13	8	160.2 
790	0	13	9	168.4 
791	0	13	10	169.4 
792	0	13	11	193.4 
793	0	13	12	202.5 
794	0	13	13	218.0 
795	0	13	14	227.6 
796	0	13	15	206.2 
797	0	13	16	193.5 
798	0	13	17	176.4 
799	0	13	18	169.6 
800	0	13	19	147.2 
801	0	13	20	119.3 
802	0	13	21	 97.4 
803	0	13	22	 93.9 
804	0	13	23	107.9 
805	0	13	24	124.6 
806	0	13	25	121.7 
807	0	13	26	123.0 
808	0	13	27	140.3 
809	0	13	28	158.3 
810	0	13	29	157.6 
811	0	13	30	171.2 
812	0	13	31	174.7 
813	0	13	32	174.0 
814	0	13	33	171.3 
815	0	13	34	139.2 
816	0	13	35	123.2 
817	0	13	36	147.5 
818	0	13	37	140.4 
819	0	13	38	156.9 
820	0	13	39	184.0 
821	0	13	40	200.1 
822	0	13	41	223.7 
823	0	13	42	199.4 
824	0	13	43	204.2 
825	0	13	44	226.3 
826	0	13	45	230.2 
827	0	13	46	225.5 
828	0	13	47	209.9 
829	0	13	48	179.0 
830	0	13	49	145.1 
831	0	13	50	140.4 
832	0	13	51	134.1 
833	0	13	52	 88.5 
834	0	13	53	 45.9 
835	0	13	54	 46.2 
836	0	13	55	 54.0 
837	0	13	56	 65.0 
838	0	13	57	 78.0 
839	0	13	58	 91.6 
840	0	13	59	 99.8 
841	0	14	0	111.0 
842	0	14	1	110.2 
843	0	14	2	107.6 
844	0	14	3	105.7 
845	0	14	4	103.3 
846	0	14	5	104.4 
847	0	14	6	104.2 
848	0	14	7	106.9 
849	0	14	8	140.4 
850	0	14	9	151.9 
851	0	14	10	185.2 
852	0	14	11	188.2 
853	0	14	12	165.4 
854	0	14	13	160.2 
855	0	14	14	142.2 
856	0	14	15	132.0 
857	0	14	16	119.6 
858	0	14	17	108.8 
859	0	14	18	118.0 
860	0	14	19	 99.6 
861	0	14	20	 94.4 
862	0	14	21	102.8 
863	0	14	22	110.3 
864	0	14	23	117.8 
865	0	14	24	109.9 
866	0	14	25	128.2 
867	0	14	26	138.7 
868	0	14	27	135.8 
869	0	14	28	134.3 
870	0	14	29	116.8 
871	0	14	30	126.4 
872	0	14	31	126.0 
873	0	14	32	122.2 
874	0	14	33	125.7 
875	0	14	34	118.6 
876	0	14	35	141.9 
877	0	14	36	155.3 
878	0	14	37	177.0 
879	0	14	38	194.6 
880	0	14	39	221.5 
881	0	14	40	234.5 
882	0	14	41	222.1 
883	0	14	42	251.6 
884	0	14	43	266.6 
885	0	14	44	264.2 
886	0	14	45	277.9 
887	0	14	46	239.5 
888	0	14	47	221.3 
889	0	14	48	212.4 
890	0	14	49	194.2 
891	0	14	50	190.5 
892	0	14	51	177.6 
893	0	14	52	147.9 
894	0	14	53	116.1 
895	0	14	54	100.8 
896	0	14	55	108.0 
897	0	14	56	112.3 
898	0	14	57	118.4 
899	0	14	58	109.8 
900	0	14	59	130.7 
901	0	15	0	120.6 
902	0	15	1	108.0 
903	0	15	2	106.1 
904	0	15	3	101.1 
905	0	15	4	 93.0 
906	0	15	5	102.2 
907	0	15	6	107.9 
908	0	15	7	 90.5 
909	0	15	8	 61.0 
910	0	15	9	 46.8 
911	0	15	10	 49.0 
912	0	15	11	 54.5 
913	0	15	12	 76.2 
914	0	15	13	 73.8 
915	0	15	14	 59.8 
916	0	15	15	 69.2 
917	0	15	16	 67.3 
918	0	15	17	 72.0 
919	0	15	18	 77.2 
920	0	15	19	 77.2 
921	0	15	20	 80.1 
922	0	15	21	 79.8 
923	0	15	22	 48.9 
924	0	15	23	 47.2 
925	0	15	24	 35.9 
926	0	15	25	 37.5 
927	0	15	26	 46.8 
928	0	15	27	 63.2 
929	0	15	28	 73.0 
930	0	15	29	 83.7 
931	0	15	30	 83.8 
932	0	15	31	 84.8 
933	0	15	32	 80.6 
934	0	15	33	 82.2 
935	0	15	34	 80.0 
936	0	15	35	 83.8 
