              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:21:02 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
520	0	8	39	 32.7	  0.0 
521	0	8	40	 34.5	  0.0 
522	0	8	41	 27.7	  0.0 
523	0	8	42	 27.4	  0.0 
524	0	8	43	 17.2	  0.0 
525	0	8	44	 22.2	  0.0 
526	0	8	45	 29.9	  0.0 
527	0	8	46	 50.9	  0.0 
528	0	8	47	 39.1	  0.0 
529	0	8	48	 38.2	  0.0 
530	0	8	49	 39.7	  0.0 
531	0	8	50	 40.5	  0.0 
532	0	8	51	 46.4	  0.0 
533	0	8	52	 19.8	  0.0 
534	0	8	53	 17.0	  0.0 
535	0	8	54	 10.1	  0.0 
536	0	8	55	  7.8	  0.0 
537	0	8	56	 21.0	  0.0 
538	0	8	57	 30.8	  0.0 
539	0	8	58	 39.1	  0.0 
540	0	8	59	 17.1	  0.0 
541	0	9	0	 29.0	  0.0 
542	0	9	1	 17.2	  0.0 
543	0	9	2	 17.3	  0.0 
544	0	9	3	 18.8	  0.0 
545	0	9	4	 33.9	  0.0 
546	0	9	5	 18.6	  0.0 
547	0	9	6	 18.5	  0.0 
548	0	9	7	 15.3	  0.0 
549	0	9	8	 11.5	  0.0 
550	0	9	9	 20.2	  0.0 
551	0	9	10	 19.7	  0.0 
552	0	9	11	 43.0	  0.0 
553	0	9	12	 59.1	  0.0 
554	0	9	13	 25.5	  0.0 
555	0	9	14	 54.8	  0.0 
556	0	9	15	 28.0	  0.0 
557	0	9	16	 31.9	  0.0 
558	0	9	17	 30.3	  0.0 
559	0	9	18	 27.6	  0.0 
560	0	9	19	 21.2	  0.0 
561	0	9	20	 13.2	  0.0 
562	0	9	21	 18.8	  0.0 
563	0	9	22	 24.0	  0.0 
564	0	9	23	 23.1	  0.0 
565	0	9	24	 16.2	  0.0 
566	0	9	25	 19.1	  0.0 
567	0	9	26	 20.4	  0.0 
568	0	9	27	 24.6	  0.0 
569	0	9	28	 22.6	  0.0 
570	0	9	29	 44.2	  0.0 
571	0	9	30	 55.1	  0.0 
572	0	9	31	 30.5	  0.0 
573	0	9	32	 16.8	  0.0 
574	0	9	33	 16.6	  0.0 
575	0	9	34	 18.6	  0.0 
576	0	9	35	 11.1	  0.0 
577	0	9	36	  9.6	  0.0 
578	0	9	37	 55.3	  0.0 
579	0	9	38	 35.3	  0.0 
580	0	9	39	 44.6	  0.0 
581	0	9	40	 51.8	  0.0 
582	0	9	41	 56.2	  0.0 
583	0	9	42	 48.1	  0.0 
584	0	9	43	 27.1	  0.0 
585	0	9	44	 13.5	  0.0 
586	0	9	45	 12.8	  0.0 
587	0	9	46	 13.2	  0.0 
588	0	9	47	 14.7	  0.0 
589	0	9	48	 10.4	  0.0 
590	0	9	49	 26.3	  0.0 
591	0	9	50	 28.8	  0.0 
592	0	9	51	 17.1	  0.0 
593	0	9	52	 15.3	  0.0 
594	0	9	53	 15.6	  0.0 
595	0	9	54	 18.2	  0.0 
596	0	9	55	  5.9	  0.0 
597	0	9	56	  8.3	  0.0 
598	0	9	57	 18.0	  0.0 
599	0	9	58	 13.1	  0.0 
600	0	9	59	 11.5	  0.0 
601	0	10	0	 18.7	  0.0 
602	0	10	1	  9.8	  0.0 
